benchmark,exec_policy,prefetch,block_size_1d,block_size_2d,num_blocks_1d,block_size_str,total_iterations,size,num_gpu,num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec,speedup,baseline_time
b1m,sync,none,32,8,64,"32,8",30,160000000,1,14,-4.934801,1.33191,0.917847,0.41406,0.9934587850803965,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,15,-4.9348,1.3245,0.917749,0.406752,1.0113079826291917,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,16,-4.9348,1.32668,0.919452,0.407227,1.010128367103333,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,17,-4.9348,1.33337,0.920425,0.412946,0.9961388282012394,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,18,-4.9348,1.33415,0.920749,0.413405,0.9950328238661579,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,19,-4.9348,1.33405,0.92023,0.413822,0.9940301495579958,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,20,-4.9348,1.33233,0.917683,0.414649,0.9920475982105083,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,21,-4.9348,1.33114,0.918246,0.412897,0.9962570436462096,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,22,-4.9348,1.33137,0.918482,0.412889,0.9962763467914839,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,23,-4.9348,1.3244,0.918494,0.405904,1.0134207707989795,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,24,-4.9348,1.32519,0.918553,0.406637,1.0115939881279592,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,25,-4.9348,1.32984,0.917815,0.412024,0.9983679216511392,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,26,-4.9348,1.3519,0.923241,0.428657,0.9596286647608437,0.41283
b1m,sync,none,32,8,64,"32,8",30,250000000,1,0,-4.9348,2.07971,1.43633,0.643377,0.9930166112915902,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,1,-4.934801,2.08063,1.4362,0.644425,0.9914017121045108,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,2,-4.9348,2.10269,1.43935,0.663338,0.9631350055672213,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,3,-4.934801,2.07265,1.43978,0.632873,1.0094980325009115,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,4,-4.9348,2.10773,1.43702,0.670717,0.95253892226222,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,5,-4.9348,2.0679,1.43475,0.633153,1.0090516009920973,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,6,-4.9348,2.07935,1.43654,0.64281,0.9938925161757742,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,7,-4.9348,2.0808,1.438,0.642799,0.9939095243193431,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,8,-4.9348,2.08631,1.43781,0.648494,0.9851811247643762,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,9,-4.9348,2.07312,1.43871,0.634413,1.0070475357896975,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,10,-4.9348,2.07634,1.43638,0.639962,0.9983156004933876,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,11,-4.9348,2.069,1.43669,0.632306,1.010403267283482,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,12,-4.9348,2.06809,1.43537,0.632725,1.0097341630612817,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,13,-4.9348,2.06983,1.43519,0.634644,1.0066809870146876,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,14,-4.9348,2.0676,1.43629,0.631311,1.0119957490412008,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,15,-4.9348,2.10721,1.47596,0.631247,1.012098351870107,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,16,-4.9348,2.06859,1.43571,0.632878,1.0094900570456697,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,17,-4.9348,2.07213,1.43456,0.637564,1.0020704561784375,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,18,-4.9348,2.07911,1.43796,0.641149,0.9964673552059653,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,19,-4.9348,2.0719,1.43672,0.635183,1.0058267433526233,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,20,-4.9348,2.06966,1.43804,0.631622,1.0114974594345185,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,21,-4.9348,2.06792,1.43549,0.632433,1.0102003663992067,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,22,-4.9348,2.06849,1.43699,0.631503,1.0116880653345262,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,23,-4.9348,2.06984,1.43617,0.633673,1.0082235606108345,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,24,-4.9348,2.06843,1.43675,0.631673,1.011415793176136,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,25,-4.9348,2.06693,1.43593,0.630994,1.0125041574451568,0.634413
b1m,sync,none,32,8,64,"32,8",30,250000000,1,26,-4.9348,2.0946,1.43993,0.654668,0.9758901432832359,0.634413
b1m,sync,none,32,8,64,"32,8",30,500000000,1,0,-4.9348,4.1334,2.86884,1.26456,1.002119933278631,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,1,-4.934801,4.13191,2.86941,1.2625,1.0037550755063966,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,2,-4.9348,4.12814,2.86921,1.25893,1.006601465392695,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,3,-4.9348,4.13506,2.874,1.26106,1.0049012599137437,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,4,-4.9348,4.13962,2.8729,1.26672,1.0004111270263558,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,5,-4.9348,4.13448,2.87318,1.2613,1.0047100474326691,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,6,-4.9348,4.17729,2.86983,1.30746,0.9692386633830676,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,7,-4.9348,4.14057,2.87572,1.26485,1.0018901710296284,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,8,-4.9348,4.13375,2.87271,1.26104,1.0049171975725002,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,9,-4.9348,4.13057,2.87332,1.25726,1.0079385193411272,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,10,-4.9348,4.13599,2.87218,1.26381,1.0027146349742648,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,11,-4.9348,4.14007,2.87218,1.26789,0.9994879546544462,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,12,-4.9348,4.14655,2.87425,1.27231,0.9960157373806898,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,13,-4.9348,4.15264,2.8762,1.27644,0.9927930673018909,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,14,-4.9348,4.14777,2.87748,1.27029,0.9975995897211075,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,15,-4.9348,4.14155,2.87301,1.26854,0.9989758169445391,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,16,-4.9348,4.14601,2.86929,1.27672,0.9925753358816543,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,17,-4.934801,4.13635,2.87463,1.26172,1.004375600629954,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,18,-4.9348,4.17943,2.87056,1.30886,0.9682019336115594,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,19,-4.934801,4.13692,2.88006,1.25686,1.008259299227301,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,20,-4.9348,4.13692,2.878,1.25892,1.0066094611467176,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,21,-4.9348,4.13575,2.87607,1.25969,1.0059941595367319,1.2625
b1m,sync,none,32,8,64,"32,8",30,500000000,1,22,-4.9348,4.13434,2.87234,1.262,1.0041527597676907,1.2625
